# timestamp tx ty tz qx qy qz qw
1341841278.842700005    -2.5508    0.9872    1.1019 -0.487105  0.767307 -0.351903  0.223902
1341841279.510699987   -2.49199   1.03282   1.12552 -0.447279  0.771166 -0.371255  0.259641
1341841280.182499886   -2.40995   1.11296   1.14182 -0.396616  0.791292 -0.386851  0.258648
1341841280.850699902   -2.30006   1.21356   1.14656 -0.345898  0.816898 -0.396805  0.235749
1341841281.554600000   -2.16051   1.32168    1.1404 -0.286134  0.847217 -0.402049  0.196742
1341841282.226500034   -1.97292   1.39462   1.12918 -0.215774   0.86496 -0.425039  0.156933
1341841282.898699999   -1.75152   1.44593   1.11381 -0.147473  0.875083 -0.446063  0.116231
1341841283.566499949    -1.53556    1.49247    1.10509 -0.0507041   0.883032  -0.465184    0.03588
1341841284.238800049    -1.27374    1.53481    1.09604 -0.0493677  -0.880818   0.470094  0.0270974
1341841284.906699896  -0.966251   1.55041   1.09397 -0.201436 -0.857269    0.4668 0.0813116
1341841285.612400055  -0.755997   1.40482   1.11341 -0.236596 -0.853796  0.452555  0.101234
1341841286.282700062  -0.638346   1.27769   1.11434 -0.246807 -0.856104  0.435645  0.128007
1341841286.950599909  -0.573921   1.19936   1.10799 -0.284699 -0.845331  0.419808  0.167697
1341841287.622699976  -0.509785   1.10392   1.09936 -0.327015 -0.822988  0.426014  0.185104
1341841288.294600010  -0.456194    0.9896   1.06405 -0.384597 -0.793084  0.424186  0.207771
1341841288.962699890  -0.382612  0.855453   1.04915 -0.424665 -0.772715  0.417797  0.219129
1341841289.634599924  -0.314873  0.721847   1.06359 -0.469361 -0.744858   0.40859   0.24071
1341841290.302999973  -0.260918  0.598137   1.08681 -0.520811 -0.714017  0.392109  0.255315
1341841290.974499941   -0.25117  0.504029   1.08793 -0.552681 -0.685841  0.385993   0.27418
1341841291.642600060  -0.243153  0.405807   1.09241 -0.556648 -0.676528  0.399023  0.270618
1341841292.314699888  -0.270921  0.344362   1.12891 -0.571811 -0.640135   0.42067  0.293761
1341841292.986599922  -0.288425  0.266169   1.14909 -0.604114 -0.604259  0.410021  0.319061
1341841293.654799938  -0.282596  0.164483   1.15209 -0.676679 -0.525068  0.369357  0.360534
1341841294.326600075  -0.302274 0.0117622   1.12231  -0.71731 -0.479667  0.323373  0.388349
1341841294.995199919  -0.334569 -0.151341   1.08396 -0.748218 -0.443451  0.283218  0.404115
1341841295.666599989  -0.381897 -0.302699   1.07581 -0.772559 -0.382883   0.27103  0.427897
1341841296.334800005   -0.44883 -0.448909   1.07891 -0.793795 -0.326572  0.269759   0.43643
1341841297.006500006    -0.5122  -0.58412   1.09159 -0.818302 -0.281309  0.252086  0.433244
1341841297.678600073  -0.595469 -0.683957   1.11313 -0.836223 -0.239984  0.223993  0.439278
1341841298.346600056  -0.705311 -0.762393   1.12979 -0.852461 -0.202922  0.186779  0.444124
1341841299.018500090  -0.855862 -0.850928   1.16191 -0.860422 -0.155198  0.170067  0.454604
1341841299.686599970   -1.03399 -0.911035   1.17407 -0.872058 -0.101975  0.140601  0.457544
1341841300.365600109    -1.21695  -0.924973    1.17048  -0.877769 -0.0500568   0.105988   0.464523
1341841301.033600092     -1.39455   -0.909152     1.14935   -0.876881 -0.00498602   0.0791323    0.474124
1341841301.705699921   -1.56279 -0.875908    1.1154 -0.875577 0.0319803 0.0667311  0.477378
1341841302.377599955   -1.71731 -0.821902   1.09551 -0.866342 0.0785958 0.0421758  0.491421
1341841303.045599937     -1.87941   -0.773887     1.09131   -0.858079    0.152214 -0.00860092    0.490365
1341841303.710599899    -2.03519  -0.700484    1.09615   -0.85105   0.197548 -0.0333813   0.485361
1341841304.378700018    -2.16444  -0.629404    1.09492  -0.839481   0.241499 -0.0481584   0.484387
1341841305.050600052    -2.25993   -0.55546    1.09366  -0.829526   0.287679 -0.0656785   0.474146
1341841305.722700119   -2.33892 -0.484507   1.08962 -0.825794  0.309937 -0.074206  0.465292
1341841306.390700102   -2.37776 -0.429522   1.11281 -0.807826  0.347796 -0.115148  0.461732
1341841307.062700033   -2.42064  -0.39294   1.13217 -0.804377   0.37747 -0.137096  0.437834
1341841307.730600119   -2.46984 -0.305688   1.16787 -0.785367  0.400731 -0.164269    0.4423
1341841308.409899950   -2.55985 -0.196058   1.18319   -0.7848  0.409456 -0.147703  0.441156
1341841309.109499931   -2.62625  -0.10551   1.20513 -0.775557  0.423371 -0.146583  0.444726
1341841309.781599998    -2.67503 -0.0660289    1.20891  -0.752599   0.468503  -0.180241    0.42616
1341841310.446799994    -2.70807 -0.0134565    1.17402  -0.721252   0.522041  -0.200704   0.408641
1341841311.150700092   -2.75885   0.07829   1.19267  -0.69059  0.565289 -0.204391  0.402192
1341841311.818599939   -2.80227  0.156409   1.22943 -0.668663  0.601202 -0.233707  0.369901
1341841312.490499973   -2.84193  0.268468   1.28266 -0.663075  0.612924 -0.253754  0.346792
1341841313.169600010   -2.86614  0.394614    1.3328 -0.645662  0.627298 -0.274675  0.337893
1341841313.869499922   -2.88379  0.521207   1.36337 -0.592134  0.675968 -0.312616   0.30776
1341841314.570600033   -2.87487  0.654391   1.37246 -0.548844  0.719084 -0.320412  0.281114
1341841315.245599985   -2.83758  0.779484   1.37275 -0.519519  0.745143 -0.315339  0.274633
1341841315.910799980    -2.7985  0.890521    1.3865  -0.48736  0.761855 -0.320083  0.282142
1341841316.578599930   -2.72042  0.971036   1.36432 -0.459995  0.774237 -0.329121  0.283973
1341841317.250600100   -2.69531     1.044   1.36394 -0.443592  0.785971 -0.342737  0.260782
